Conexões Internet Ativas (servidores e estabelecidas)
Proto Recv-Q Send-Q Endereço Local          Endereço Remoto         Estado      
tcp        0      0 lauro-note:35242        ec2-3-231-176-106:https ESTABELECIDA
tcp        0      0 lauro-note:50502        185.183.112.155:https   ESTABELECIDA
tcp        0      0 lauro-note:33744        ec2-177-71-192-40:https ESTABELECIDA
tcp        0      0 lauro-note:44200        185.167.164.53:https    ESTABELECIDA
tcp        0      0 lauro-note:37108        ec2-52-9-111-108.:https ESTABELECIDA
tcp        0      0 lauro-note:35114        ec2-54-210-213-16:https ESTABELECIDA
tcp        0      0 lauro-note:37332        e1-ha.ycpi.bra.ya:https ESTABELECIDA
tcp        0      0 lauro-note:47756        152.199.24.47:https     ESTABELECIDA
tcp        0      0 lauro-note:37896        a23-42-243-112.de:https ESTABELECIDA
tcp        0      0 lauro-note:56510        a23-5-34-110.depl:https ESTABELECIDA
tcp        0      0 lauro-note:60198        151.101.130.2:https     ESTABELECIDA
tcp        0      0 lauro-note:51413        243-193.186-160.d:23679 TIME_WAIT  
tcp        0      0 lauro-note:59366        ec2-3-222-241-144:https ESTABELECIDA
tcp        0      0 lauro-note:52706        ec2-52-8-204-92.u:https ESTABELECIDA
tcp        0      0 lauro-note:55376        172.217.192.188:5228    ESTABELECIDA
tcp        0      0 lauro-note:51413        80.233.36.92:24851      TIME_WAIT  
tcp        0      0 lauro-note:39466        ec2-3-90-90-62.co:https ESTABELECIDA
tcp        0      0 lauro-note:37182        64.191.16.85:https      ESTABELECIDA
tcp        0      0 lauro-note:37210        ec2-52-9-111-108.:https ESTABELECIDA
tcp        0      0 lauro-note:51413        103.21.12.61:54842      TIME_WAIT  
tcp        0      0 lauro-note:57618        ec2-34-192-232-20:https ESTABELECIDA
tcp        0      0 lauro-note:38716        104.16.91.60:https      ESTABELECIDA
tcp        0      0 lauro-note:45626        ec2-54-209-58-223:https ESTABELECIDA
tcp        0      0 lauro-note:51850        a23-77-33-34.depl:https ESTABELECIDA
tcp        0      0 lauro-note:45866        prebid.nym2.adnex:https ESTABELECIDA
tcp        0      0 lauro-note:46954        151.101.94.49:https     ESTABELECIDA
tcp        0      0 lauro-note:54886        a23-74-187-64.dep:https ESTABELECIDA
tcp        0      0 lauro-note:56144        162.248.19.152:https    TIME_WAIT  
tcp        0      0 lauro-note:39480        ec2-3-90-90-62.co:https ESTABELECIDA
tcp        0      0 lauro-note:53038        119.225.186.35.bc:https ESTABELECIDA
tcp        0      0 lauro-note:59336        104.244.42.8:https      ESTABELECIDA
tcp        0      0 lauro-note:53700        38.67.14.226:https      ESTABELECIDA
tcp        0      0 lauro-note:36448        a23-52-117-90.dep:https ESTABELECIDA
tcp        0      0 lauro-note:45882        ec2-54-208-70-102:https ESTABELECIDA
tcp   122912      0 lauro-note:55499        95.211.215.25:33180     ESTABELECIDA
tcp        0      0 lauro-note:43536        57.210.227.35.bc.:https ESTABELECIDA
tcp        0      0 lauro-note:52414        ec2-52-8-204-92.u:https ESTABELECIDA
tcp        0      0 lauro-note:60782        151.101.65.69:https     ESTABELECIDA
tcp        0      0 lauro-note:43236        ec2-54-67-75-102.:https ESTABELECIDA
tcp        0      0 lauro-note:56088        74.119.119.150:https    ESTABELECIDA
tcp        0      0 lauro-note:48838        bam-8.nr-data.net:https ESTABELECIDA
tcp        0      0 lauro-note:56134        162.248.19.152:https    ESTABELECIDA
tcp        0      0 lauro-note:42486        ec2-54-233-114-24:https ESTABELECIDA
tcp        0      0 lauro-note:50886        ec2-18-211-234-56:https ESTABELECIDA
tcp        0      0 lauro-note:54922        a23-52-118-36.dep:https ESTABELECIDA
tcp        0      0 lauro-note:33804        53.224.186.35.bc.:https ESTABELECIDA
tcp        0      0 lauro-note:52416        ec2-52-8-204-92.u:https ESTABELECIDA
tcp        0      0 lauro-note:52580        ec2-52-8-204-92.u:https ESTABELECIDA
tcp        0      0 lauro-note:55022        spdc.pbp.vip.bf1.:https ESTABELECIDA
tcp        0      0 lauro-note:42576        151.101.92.166:https    ESTABELECIDA
tcp        0      0 lauro-note:59910        104.27.130.137:http     ESTABELECIDA
tcp        0      0 lauro-note:54836        a23-52-118-36.dep:https ESTABELECIDA
tcp       32      0 lauro-note:36410        caranda.canonical:https ESPERANDO_FECHAR
tcp        0      0 lauro-note:51413        73.104.45.5:37075       TIME_WAIT  
tcp        0      0 lauro-note:35220        53.224.186.35.bc.:https ESTABELECIDA
tcp        0      0 lauro-note:49972        104.36.113.17:https     ESTABELECIDA
tcp        0    469 lauro-note:55021        77.19.134.67.tmi.:36028 ESPERA_FIN1
tcp        0      0 lauro-note:44442        192.16.58.25:https      ESTABELECIDA
tcp        0      0 lauro-note:42050        147.75.40.28:https      ESTABELECIDA
tcp        0      0 lauro-note:51413        cpe-66-75-255-199:61390 TIME_WAIT  
tcp        0      0 lauro-note:57962        216.200.232.216:https   ESTABELECIDA
tcp        0      0 lauro-note:45302        199.244.48.52:https     ESTABELECIDA
tcp        0      0 lauro-note:47794        server-13-227-93-:https ESTABELECIDA
tcp        0      0 lauro-note:48686        ec2-34-195-238-25:https ESTABELECIDA
tcp        0    148 lauro-note:47581        m213-101-14-21.cus:5260 ESTABELECIDA
tcp        0    258 lauro-note:37153        12.245.223.10:50681     ESTABELECIDA
tcp        0      0 lauro-note:37898        a23-42-243-112.de:https ESTABELECIDA
tcp        0      0 lauro-note:55786        a23-36-77-82.depl:https ESTABELECIDA
tcp        0      0 lauro-note:45880        ec2-54-208-70-102:https ESTABELECIDA
tcp        0      0 lauro-note:51413        77.125.45.70:60227      TIME_WAIT  
tcp        0      0 lauro-note:56742        a23-5-34-110.depl:https ESTABELECIDA
tcp        0      0 lauro-note:52558        ec2-18-195-155-18:https ESTABELECIDA
tcp        0      0 lauro-note:53702        38.67.14.226:https      TIME_WAIT  
tcp        0      0 lauro-note:47048        151.101.94.49:https     ESTABELECIDA
tcp        0      0 lauro-note:51413        103.21.12.61:54827      TIME_WAIT  
tcp        0      0 lauro-note:37659        dhcp1062.nita.gov.:6881 ESTABELECIDA
tcp        0      0 lauro-note:59914        ec2-18-228-99-199:https ESTABELECIDA
tcp        0      0 lauro-note:56030        104.36.113.23:https     ESTABELECIDA
tcp        0      0 lauro-note:45876        ec2-54-208-70-102:https ESTABELECIDA
tcp        0      0 lauro-note:42546        167.160.40.216:http     ESTABELECIDA
tcp        0      0 lauro-note:53608        163.41.231.35.bc.:https ESTABELECIDA
tcp        0      0 lauro-note:56994        ec2-52-203-142-16:https ESTABELECIDA
tcp        0      0 lauro-note:40338        ec2-3-225-164-234:https ESTABELECIDA
tcp        0      0 lauro-note:60780        151.101.65.69:https     ESTABELECIDA
tcp6       0      0 [::]:51413              [::]:*                  OUÇA      
tcp6       0      0 ip6-localhost:ipp       [::]:*                  OUÇA      
